age,workclass,fnlwgt,education,marital-status,occupation,relationship,race,gender,capital-gain,capital-loss,hours-per-week,native-country
>=26.5,Private,>=56442,Some-college,Never-married,Machine-op-inspct,Other-relative,White,Male,<9104,<2298.5,>=49,Ecuador
>=26.5,Private,>=56442,Bachelors,Married-civ-spouse,Adm-clerical,Wife,White,Female,<9104,<2298.5,>=49,United-States
>=26.5,Self-emp-not-inc,>=56442,Some-college,Married-civ-spouse,Craft-repair,Husband,White,Male,<9104,<2298.5,<49,United-States
>=26.5,Private,<56442,HS-grad,Married-civ-spouse,Machine-op-inspct,Husband,White,Male,<9104,<2298.5,<49,United-States
>=26.5,Self-emp-not-inc,>=56442,HS-grad,Married-civ-spouse,Exec-managerial,Husband,White,Male,<9104,<2298.5,>=49,United-States
>=26.5,Local-gov,>=56442,HS-grad,Married-civ-spouse,Protective-serv,Husband,White,Male,<9104,<2298.5,>=49,United-States
>=26.5,Local-gov,>=56442,Masters,Married-civ-spouse,Prof-specialty,Husband,White,Male,<9104,<2298.5,>=49,United-States
<26.5,State-gov,>=56442,Some-college,Married-civ-spouse,Adm-clerical,Wife,White,Female,<9104,<2298.5,<49,United-States
<26.5,Local-gov,>=56442,Some-college,Never-married,Protective-serv,Unmarried,Other,Male,<9104,<2298.5,<49,United-States
<26.5,Self-emp-inc,>=56442,HS-grad,Never-married,Machine-op-inspct,Own-child,White,Female,<9104,<2298.5,<49,United-States
>=26.5,Self-emp-inc,>=56442,Some-college,Married-civ-spouse,Sales,Husband,White,Male,<9104,<2298.5,>=49,United-States
>=26.5,Private,>=56442,Assoc-acdm,Divorced,Machine-op-inspct,Own-child,White,Male,<9104,<2298.5,<49,United-States
>=26.5,Private,>=56442,7th-8th,Married-civ-spouse,Protective-serv,Husband,White,Male,<9104,<2298.5,>=49,United-States
>=26.5,Federal-gov,>=56442,Bachelors,Married-spouse-absent,Exec-managerial,Not-in-family,White,Female,<9104,<2298.5,<49,United-States
>=26.5,Federal-gov,<56442,Some-college,Never-married,Adm-clerical,Own-child,Black,Female,<9104,<2298.5,<49,United-States
>=26.5,Private,>=56442,Some-college,Separated,Adm-clerical,Unmarried,White,Female,<9104,<2298.5,<49,United-States
>=26.5,Private,>=56442,HS-grad,Never-married,Other-service,Own-child,Black,Female,<9104,<2298.5,<49,United-States
>=26.5,State-gov,>=56442,Masters,Divorced,Prof-specialty,Not-in-family,White,Female,<9104,<2298.5,<49,United-States
<26.5,Private,>=56442,HS-grad,Never-married,Craft-repair,Own-child,White,Male,<9104,<2298.5,<49,Mexico
>=26.5,Self-emp-not-inc,>=56442,HS-grad,Married-civ-spouse,Farming-fishing,Husband,White,Male,<9104,<2298.5,>=49,United-States
>=26.5,Private,>=56442,Prof-school,Divorced,Prof-specialty,Own-child,White,Female,<9104,<2298.5,>=49,United-States
>=26.5,State-gov,>=56442,Some-college,Divorced,Adm-clerical,Not-in-family,White,Female,<9104,<2298.5,<49,United-States
>=26.5,Private,>=56442,Some-college,Married-civ-spouse,Craft-repair,Husband,White,Male,<9104,<2298.5,<49,United-States
>=26.5,Private,>=56442,HS-grad,Married-civ-spouse,Machine-op-inspct,Husband,White,Male,<9104,<2298.5,<49,United-States
<26.5,Private,>=56442,Bachelors,Married-civ-spouse,Prof-specialty,Wife,Black,Female,<9104,<2298.5,<49,United-States
>=26.5,Private,>=56442,11th,Married-civ-spouse,Handlers-cleaners,Husband,White,Male,<9104,<2298.5,<49,United-States
>=26.5,Self-emp-not-inc,>=56442,Assoc-acdm,Married-civ-spouse,Tech-support,Husband,White,Male,<9104,<2298.5,>=49,United-States
>=26.5,Private,>=56442,Bachelors,Married-civ-spouse,Exec-managerial,Husband,White,Male,<9104,<2298.5,>=49,United-States
>=26.5,Private,>=56442,Bachelors,Married-civ-spouse,Sales,Husband,White,Male,<9104,<2298.5,<49,United-States
>=26.5,Private,>=56442,Some-college,Married-civ-spouse,Exec-managerial,Husband,White,Male,<9104,<2298.5,<49,United-States
>=26.5,Private,>=56442,Some-college,Separated,Machine-op-inspct,Unmarried,Black,Female,<9104,<2298.5,<49,United-States
>=26.5,Private,>=56442,HS-grad,Never-married,Prof-specialty,Not-in-family,White,Female,<9104,<2298.5,<49,United-States
>=26.5,Private,>=56442,HS-grad,Separated,Adm-clerical,Own-child,Asian-Pac-Islander,Female,<9104,<2298.5,<49,Philippines
>=26.5,Private,>=56442,Bachelors,Married-civ-spouse,Prof-specialty,Other-relative,White,Male,<9104,<2298.5,<49,United-States
>=26.5,Private,>=56442,Some-college,Separated,Other-service,Unmarried,White,Female,<9104,<2298.5,>=49,Mexico
>=26.5,Private,>=56442,7th-8th,Married-spouse-absent,Prof-specialty,Other-relative,White,Male,<9104,<2298.5,<49,Puerto-Rico
>=26.5,Private,>=56442,HS-grad,Never-married,Other-service,Own-child,White,Male,<9104,<2298.5,<49,United-States
>=26.5,Federal-gov,>=56442,Masters,Married-civ-spouse,Armed-Forces,Husband,White,Male,<9104,<2298.5,<49,United-States
>=26.5,Private,>=56442,12th,Divorced,Machine-op-inspct,Unmarried,White,Female,<9104,<2298.5,<49,United-States
<26.5,Private,>=56442,HS-grad,Never-married,Other-service,Own-child,White,Male,<9104,<2298.5,<49,United-States
>=26.5,Private,>=56442,1st-4th,Married-civ-spouse,Other-service,Wife,White,Female,<9104,<2298.5,<49,United-States
>=26.5,Local-gov,<56442,Assoc-acdm,Separated,Adm-clerical,Unmarried,Black,Female,<9104,<2298.5,<49,United-States
<26.5,Local-gov,>=56442,Some-college,Never-married,Protective-serv,Own-child,White,Male,<9104,<2298.5,<49,United-States
<26.5,Private,>=56442,Assoc-voc,Never-married,Other-service,Own-child,Black,Female,<9104,<2298.5,<49,United-States
<26.5,State-gov,>=56442,Masters,Never-married,Prof-specialty,Not-in-family,White,Female,<9104,<2298.5,<49,United-States
<26.5,Private,>=56442,Some-college,Never-married,Adm-clerical,Own-child,Black,Male,<9104,<2298.5,<49,United-States
>=26.5,Self-emp-not-inc,>=56442,Assoc-voc,Married-civ-spouse,Prof-specialty,Husband,White,Male,<9104,<2298.5,>=49,United-States
>=26.5,Private,>=56442,HS-grad,Never-married,Other-service,Other-relative,Black,Male,<9104,<2298.5,<49,United-States
>=26.5,Private,>=56442,HS-grad,Married-civ-spouse,Adm-clerical,Husband,Black,Male,<9104,<2298.5,<49,United-States
>=26.5,Private,>=56442,HS-grad,Divorced,Craft-repair,Unmarried,White,Male,<9104,<2298.5,>=49,United-States
>=26.5,Private,>=56442,HS-grad,Divorced,Transport-moving,Not-in-family,White,Male,<9104,<2298.5,<49,United-States
>=26.5,Private,>=56442,HS-grad,Married-civ-spouse,Handlers-cleaners,Husband,White,Male,<9104,<2298.5,<49,United-States
<26.5,Self-emp-not-inc,>=56442,Assoc-acdm,Never-married,Craft-repair,Not-in-family,White,Male,<9104,<2298.5,<49,United-States
>=26.5,Private,>=56442,Bachelors,Separated,Other-service,Other-relative,Black,Male,<9104,<2298.5,>=49,United-States
>=26.5,Self-emp-inc,>=56442,Assoc-acdm,Married-civ-spouse,Sales,Husband,White,Male,<9104,<2298.5,<49,United-States
>=26.5,Self-emp-not-inc,>=56442,HS-grad,Married-civ-spouse,Transport-moving,Husband,White,Male,<9104,<2298.5,<49,United-States
>=26.5,Federal-gov,>=56442,Prof-school,Never-married,Prof-specialty,Not-in-family,White,Female,<9104,<2298.5,>=49,United-States
>=26.5,Private,>=56442,HS-grad,Never-married,Craft-repair,Own-child,White,Male,<9104,<2298.5,<49,United-States
<26.5,Private,>=56442,11th,Never-married,Prof-specialty,Own-child,White,Male,<9104,<2298.5,<49,United-States
<26.5,Private,>=56442,Some-college,Married-civ-spouse,Sales,Own-child,White,Female,<9104,<2298.5,<49,United-States
>=26.5,Private,>=56442,Some-college,Married-civ-spouse,Craft-repair,Husband,White,Male,<9104,<2298.5,>=49,United-States
<26.5,Private,>=56442,Bachelors,Never-married,Adm-clerical,Not-in-family,White,Female,<9104,<2298.5,<49,United-States
>=26.5,Local-gov,>=56442,Masters,Separated,Prof-specialty,Unmarried,White,Female,<9104,<2298.5,>=49,United-States
<26.5,Private,>=56442,Bachelors,Married-civ-spouse,Tech-support,Husband,White,Male,<9104,<2298.5,>=49,United-States
>=26.5,Private,>=56442,HS-grad,Divorced,Craft-repair,Unmarried,White,Male,<9104,<2298.5,<49,United-States
>=26.5,Private,>=56442,11th,Never-married,Adm-clerical,Not-in-family,White,Male,<9104,<2298.5,<49,United-States
>=26.5,Federal-gov,>=56442,HS-grad,Never-married,Adm-clerical,Not-in-family,White,Female,<9104,<2298.5,<49,United-States
>=26.5,Private,>=56442,HS-grad,Married-civ-spouse,Craft-repair,Husband,White,Male,<9104,<2298.5,<49,United-States
<26.5,Private,>=56442,Bachelors,Never-married,Prof-specialty,Own-child,White,Female,<9104,<2298.5,<49,United-States
>=26.5,Self-emp-not-inc,<56442,HS-grad,Married-civ-spouse,Sales,Wife,White,Female,<9104,<2298.5,<49,United-States
>=26.5,State-gov,>=56442,HS-grad,Separated,Adm-clerical,Own-child,White,Female,<9104,<2298.5,<49,United-States
>=26.5,Private,>=56442,9th,Married-civ-spouse,Machine-op-inspct,Husband,White,Male,<9104,<2298.5,<49,Canada
>=26.5,Self-emp-not-inc,>=56442,10th,Married-civ-spouse,Exec-managerial,Husband,White,Male,<9104,<2298.5,<49,United-States
>=26.5,Private,>=56442,Some-college,Married-civ-spouse,Transport-moving,Husband,White,Male,<9104,<2298.5,<49,El-Salvador
>=26.5,Local-gov,>=56442,Bachelors,Never-married,Prof-specialty,Own-child,White,Female,<9104,<2298.5,<49,United-States
>=26.5,Private,>=56442,Some-college,Divorced,Adm-clerical,Unmarried,White,Female,<9104,<2298.5,<49,United-States
>=26.5,Private,>=56442,HS-grad,Divorced,Other-service,Not-in-family,White,Female,<9104,<2298.5,<49,United-States
>=26.5,Self-emp-inc,>=56442,Some-college,Married-civ-spouse,Exec-managerial,Husband,White,Male,<9104,<2298.5,<49,United-States
>=26.5,Private,>=56442,Prof-school,Married-civ-spouse,Prof-specialty,Husband,White,Male,<9104,<2298.5,>=49,United-States
>=26.5,Private,>=56442,HS-grad,Divorced,Transport-moving,Not-in-family,White,Male,<9104,<2298.5,>=49,United-States
>=26.5,Private,>=56442,HS-grad,Widowed,Other-service,Unmarried,Black,Female,<9104,<2298.5,<49,Jamaica
>=26.5,Private,>=56442,HS-grad,Married-civ-spouse,Craft-repair,Husband,White,Male,<9104,<2298.5,<49,United-States
>=26.5,Private,>=56442,Some-college,Never-married,Other-service,Not-in-family,White,Male,<9104,<2298.5,<49,United-States
>=26.5,Private,>=56442,HS-grad,Married-civ-spouse,Craft-repair,Husband,White,Male,<9104,<2298.5,<49,United-States
>=26.5,Local-gov,>=56442,Masters,Divorced,Prof-specialty,Unmarried,White,Female,<9104,<2298.5,<49,United-States
>=26.5,Federal-gov,>=56442,10th,Divorced,Adm-clerical,Unmarried,White,Female,<9104,<2298.5,>=49,United-States
<26.5,Private,>=56442,HS-grad,Never-married,Craft-repair,Unmarried,White,Male,<9104,<2298.5,<49,United-States
>=26.5,Federal-gov,>=56442,HS-grad,Never-married,Exec-managerial,Other-relative,White,Female,<9104,<2298.5,<49,United-States
>=26.5,Federal-gov,>=56442,Bachelors,Never-married,Prof-specialty,Not-in-family,White,Male,<9104,<2298.5,<49,United-States
>=26.5,Private,<56442,Assoc-acdm,Never-married,Other-service,Unmarried,Amer-Indian-Eskimo,Female,<9104,<2298.5,<49,United-States
>=26.5,Private,>=56442,Assoc-acdm,Never-married,Sales,Not-in-family,White,Male,<9104,<2298.5,<49,Mexico
>=26.5,Private,>=56442,Some-college,Married-civ-spouse,Craft-repair,Husband,White,Male,<9104,<2298.5,<49,United-States
>=26.5,Private,>=56442,Masters,Married-civ-spouse,Exec-managerial,Husband,White,Male,<9104,<2298.5,>=49,United-States
>=26.5,Self-emp-not-inc,>=56442,11th,Married-civ-spouse,Craft-repair,Husband,White,Male,<9104,<2298.5,<49,United-States
>=26.5,Private,>=56442,Bachelors,Married-civ-spouse,Craft-repair,Husband,White,Male,<9104,<2298.5,<49,United-States
>=26.5,Private,>=56442,Assoc-voc,Never-married,Prof-specialty,Not-in-family,White,Female,<9104,<2298.5,<49,United-States
>=26.5,Private,>=56442,HS-grad,Separated,Other-service,Other-relative,White,Female,<9104,<2298.5,<49,United-States
>=26.5,Private,>=56442,HS-grad,Widowed,Craft-repair,Unmarried,Black,Female,<9104,<2298.5,<49,United-States
>=26.5,Private,>=56442,Masters,Married-civ-spouse,Exec-managerial,Husband,White,Male,<9104,<2298.5,<49,United-States
>=26.5,Private,>=56442,Bachelors,Married-civ-spouse,Exec-managerial,Husband,White,Male,<9104,<2298.5,>=49,United-States
>=26.5,Private,>=56442,Bachelors,Never-married,Handlers-cleaners,Own-child,White,Male,<9104,<2298.5,<49,United-States
>=26.5,Private,>=56442,HS-grad,Married-civ-spouse,Adm-clerical,Wife,White,Female,<9104,<2298.5,<49,United-States
>=26.5,Private,>=56442,Some-college,Married-civ-spouse,Sales,Husband,White,Male,<9104,<2298.5,<49,United-States
>=26.5,Private,>=56442,Masters,Married-civ-spouse,Prof-specialty,Wife,White,Female,<9104,<2298.5,<49,United-States
>=26.5,Private,>=56442,HS-grad,Married-civ-spouse,Machine-op-inspct,Husband,White,Male,<9104,<2298.5,>=49,United-States
>=26.5,Local-gov,>=56442,Assoc-voc,Never-married,Adm-clerical,Not-in-family,White,Female,<9104,<2298.5,<49,United-States
<26.5,Private,>=56442,Some-college,Never-married,Transport-moving,Not-in-family,White,Male,<9104,<2298.5,<49,United-States
<26.5,Local-gov,>=56442,Some-college,Never-married,Adm-clerical,Not-in-family,Black,Female,<9104,<2298.5,<49,United-States
>=26.5,Private,>=56442,HS-grad,Married-civ-spouse,Sales,Other-relative,White,Female,<9104,<2298.5,<49,Poland
>=26.5,Local-gov,>=56442,HS-grad,Married-civ-spouse,Machine-op-inspct,Husband,Black,Male,<9104,<2298.5,<49,United-States
<26.5,Private,>=56442,HS-grad,Never-married,Sales,Not-in-family,White,Female,<9104,<2298.5,<49,United-States
>=26.5,Self-emp-not-inc,>=56442,Some-college,Married-civ-spouse,Exec-managerial,Husband,Black,Male,<9104,<2298.5,<49,United-States
<26.5,Private,>=56442,Bachelors,Never-married,Other-service,Not-in-family,White,Female,<9104,<2298.5,<49,United-States
>=26.5,Local-gov,<56442,HS-grad,Married-civ-spouse,Other-service,Husband,White,Male,<9104,<2298.5,<49,United-States
<26.5,Private,>=56442,HS-grad,Never-married,Other-service,Unmarried,White,Female,<9104,<2298.5,<49,United-States
<26.5,Private,>=56442,Some-college,Never-married,Adm-clerical,Own-child,Asian-Pac-Islander,Female,<9104,<2298.5,<49,United-States
<26.5,Private,>=56442,HS-grad,Never-married,Sales,Not-in-family,White,Female,<9104,<2298.5,<49,United-States
<26.5,Private,>=56442,Some-college,Never-married,Machine-op-inspct,Not-in-family,Asian-Pac-Islander,Male,<9104,<2298.5,<49,Philippines
>=26.5,Self-emp-not-inc,>=56442,9th,Married-civ-spouse,Craft-repair,Husband,White,Male,<9104,<2298.5,<49,United-States
>=26.5,Private,>=56442,Assoc-acdm,Divorced,Sales,Unmarried,White,Female,<9104,<2298.5,<49,United-States
>=26.5,Self-emp-not-inc,>=56442,HS-grad,Married-civ-spouse,Craft-repair,Husband,White,Male,<9104,<2298.5,>=49,United-States
<26.5,Private,>=56442,HS-grad,Never-married,Other-service,Not-in-family,White,Female,<9104,<2298.5,<49,United-States
>=26.5,Self-emp-not-inc,>=56442,HS-grad,Married-civ-spouse,Craft-repair,Husband,White,Male,<9104,<2298.5,>=49,United-States
>=26.5,Private,>=56442,7th-8th,Married-civ-spouse,Machine-op-inspct,Husband,White,Male,<9104,<2298.5,<49,United-States
>=26.5,Private,>=56442,HS-grad,Never-married,Transport-moving,Not-in-family,White,Male,<9104,<2298.5,<49,United-States
>=26.5,Local-gov,>=56442,Bachelors,Divorced,Prof-specialty,Own-child,White,Male,<9104,>=2298.5,<49,United-States
>=26.5,Private,>=56442,Masters,Married-civ-spouse,Adm-clerical,Husband,Asian-Pac-Islander,Male,<9104,<2298.5,<49,China
<26.5,Self-emp-not-inc,>=56442,HS-grad,Never-married,Craft-repair,Own-child,White,Male,<9104,<2298.5,>=49,United-States
<26.5,Private,>=56442,Some-college,Never-married,Adm-clerical,Own-child,White,Male,<9104,<2298.5,<49,Greece
>=26.5,Private,>=56442,HS-grad,Separated,Adm-clerical,Unmarried,White,Female,<9104,<2298.5,<49,United-States
>=26.5,Self-emp-not-inc,>=56442,HS-grad,Married-civ-spouse,Other-service,Husband,White,Male,<9104,<2298.5,<49,United-States
>=26.5,Private,>=56442,HS-grad,Married-civ-spouse,Machine-op-inspct,Husband,White,Male,<9104,<2298.5,<49,United-States
<26.5,Private,>=56442,Bachelors,Never-married,Craft-repair,Own-child,White,Male,<9104,<2298.5,<49,United-States
<26.5,Private,>=56442,HS-grad,Never-married,Other-service,Not-in-family,White,Female,<9104,<2298.5,<49,United-States
>=26.5,Self-emp-not-inc,>=56442,Masters,Married-civ-spouse,Exec-managerial,Wife,White,Female,<9104,<2298.5,<49,United-States
>=26.5,Local-gov,>=56442,HS-grad,Married-civ-spouse,Other-service,Husband,White,Male,<9104,<2298.5,<49,United-States
>=26.5,Self-emp-inc,>=56442,11th,Married-civ-spouse,Exec-managerial,Husband,White,Male,<9104,<2298.5,<49,United-States
>=26.5,Private,>=56442,HS-grad,Divorced,Other-service,Not-in-family,White,Female,<9104,<2298.5,<49,United-States
>=26.5,Private,>=56442,Bachelors,Widowed,Tech-support,Unmarried,White,Female,<9104,<2298.5,<49,United-States
<26.5,Private,>=56442,11th,Never-married,Sales,Own-child,White,Male,<9104,<2298.5,<49,United-States
<26.5,Private,>=56442,Some-college,Never-married,Other-service,Other-relative,White,Male,<9104,<2298.5,<49,Nicaragua
<26.5,Private,>=56442,HS-grad,Never-married,Other-service,Own-child,Black,Male,<9104,<2298.5,<49,United-States
>=26.5,Local-gov,>=56442,HS-grad,Never-married,Transport-moving,Own-child,White,Female,<9104,<2298.5,<49,United-States
>=26.5,Private,>=56442,HS-grad,Never-married,Sales,Not-in-family,White,Male,<9104,<2298.5,<49,United-States
>=26.5,Local-gov,>=56442,Bachelors,Married-civ-spouse,Prof-specialty,Husband,White,Male,<9104,<2298.5,<49,United-States
>=26.5,Self-emp-not-inc,>=56442,HS-grad,Married-civ-spouse,Exec-managerial,Husband,White,Male,<9104,<2298.5,<49,United-States
>=26.5,Private,>=56442,Some-college,Never-married,Craft-repair,Not-in-family,Black,Male,<9104,<2298.5,<49,United-States
>=26.5,Private,>=56442,HS-grad,Married-civ-spouse,Exec-managerial,Husband,White,Male,<9104,<2298.5,>=49,United-States
<26.5,Private,>=56442,Bachelors,Never-married,Sales,Own-child,White,Female,<9104,<2298.5,<49,United-States
>=26.5,Private,>=56442,Some-college,Divorced,Sales,Not-in-family,White,Male,<9104,<2298.5,>=49,United-States
<26.5,Private,>=56442,HS-grad,Never-married,Craft-repair,Not-in-family,Black,Male,<9104,<2298.5,<49,United-States
>=26.5,Private,>=56442,HS-grad,Married-civ-spouse,Sales,Husband,White,Male,<9104,<2298.5,>=49,United-States
>=26.5,Private,>=56442,Bachelors,Never-married,Sales,Not-in-family,Black,Female,<9104,<2298.5,<49,United-States
>=26.5,Self-emp-inc,>=56442,Bachelors,Married-civ-spouse,Prof-specialty,Husband,White,Male,<9104,<2298.5,<49,United-States
>=26.5,Private,>=56442,HS-grad,Separated,Adm-clerical,Not-in-family,Other,Male,<9104,<2298.5,<49,United-States
>=26.5,Private,>=56442,HS-grad,Separated,Sales,Not-in-family,White,Female,<9104,<2298.5,<49,United-States
<26.5,Private,>=56442,Bachelors,Never-married,Adm-clerical,Own-child,White,Female,<9104,<2298.5,<49,United-States
>=26.5,Private,>=56442,Assoc-voc,Divorced,Other-service,Unmarried,White,Female,<9104,<2298.5,<49,United-States
>=26.5,Private,>=56442,HS-grad,Married-civ-spouse,Tech-support,Husband,White,Male,<9104,<2298.5,>=49,United-States
>=26.5,Private,>=56442,HS-grad,Married-civ-spouse,Prof-specialty,Wife,White,Female,<9104,<2298.5,<49,United-States
>=26.5,Private,>=56442,Bachelors,Never-married,Prof-specialty,Not-in-family,Asian-Pac-Islander,Male,<9104,<2298.5,>=49,United-States
>=26.5,Private,>=56442,HS-grad,Married-civ-spouse,Craft-repair,Husband,White,Male,<9104,<2298.5,<49,United-States
>=26.5,Local-gov,>=56442,HS-grad,Married-civ-spouse,Prof-specialty,Husband,White,Male,<9104,<2298.5,<49,El-Salvador
>=26.5,Private,>=56442,HS-grad,Separated,Craft-repair,Not-in-family,White,Male,<9104,<2298.5,<49,United-States
>=26.5,Private,>=56442,Bachelors,Married-civ-spouse,Exec-managerial,Husband,White,Male,<9104,<2298.5,>=49,United-States
>=26.5,Self-emp-inc,<56442,Bachelors,Never-married,Farming-fishing,Not-in-family,White,Female,<9104,<2298.5,<49,United-States
<26.5,Self-emp-not-inc,>=56442,Bachelors,Never-married,Exec-managerial,Not-in-family,White,Female,<9104,<2298.5,<49,United-States
>=26.5,Private,>=56442,Some-college,Separated,Tech-support,Unmarried,White,Female,<9104,<2298.5,>=49,United-States
>=26.5,State-gov,>=56442,HS-grad,Married-civ-spouse,Protective-serv,Husband,White,Male,<9104,<2298.5,<49,United-States
<26.5,Private,>=56442,Bachelors,Never-married,Adm-clerical,Not-in-family,White,Male,<9104,<2298.5,<49,United-States
>=26.5,Private,>=56442,Some-college,Married-civ-spouse,Machine-op-inspct,Husband,White,Male,<9104,<2298.5,>=49,United-States
>=26.5,Self-emp-inc,>=56442,Bachelors,Married-civ-spouse,Exec-managerial,Husband,Asian-Pac-Islander,Male,<9104,<2298.5,>=49,Taiwan
<26.5,Private,>=56442,HS-grad,Never-married,Sales,Not-in-family,White,Male,<9104,<2298.5,>=49,United-States
>=26.5,Private,>=56442,11th,Married-civ-spouse,Sales,Husband,White,Male,<9104,<2298.5,<49,United-States
<26.5,Private,>=56442,HS-grad,Never-married,Other-service,Own-child,White,Female,<9104,<2298.5,<49,United-States
>=26.5,Local-gov,>=56442,Some-college,Widowed,Other-service,Not-in-family,White,Female,<9104,<2298.5,<49,Poland
>=26.5,State-gov,>=56442,Assoc-voc,Divorced,Protective-serv,Unmarried,Black,Male,<9104,<2298.5,<49,United-States
>=26.5,Federal-gov,>=56442,HS-grad,Never-married,Adm-clerical,Unmarried,White,Female,<9104,<2298.5,<49,Mexico
>=26.5,Private,<56442,HS-grad,Married-civ-spouse,Exec-managerial,Husband,White,Male,<9104,<2298.5,>=49,United-States
>=26.5,Private,>=56442,HS-grad,Married-civ-spouse,Transport-moving,Husband,White,Male,<9104,<2298.5,<49,United-States
<26.5,Private,>=56442,Masters,Never-married,Exec-managerial,Not-in-family,White,Male,<9104,<2298.5,>=49,United-States
<26.5,Private,>=56442,Some-college,Never-married,Sales,Not-in-family,White,Female,<9104,<2298.5,>=49,United-States
<26.5,Private,>=56442,HS-grad,Never-married,Sales,Unmarried,White,Male,<9104,<2298.5,<49,United-States
>=26.5,Private,>=56442,Some-college,Married-civ-spouse,Prof-specialty,Husband,White,Male,<9104,<2298.5,<49,United-States
>=26.5,Private,>=56442,10th,Divorced,Machine-op-inspct,Not-in-family,White,Female,<9104,<2298.5,<49,United-States
>=26.5,Private,>=56442,9th,Married-civ-spouse,Transport-moving,Husband,White,Male,<9104,<2298.5,<49,United-States
>=26.5,Self-emp-not-inc,>=56442,9th,Married-civ-spouse,Craft-repair,Husband,White,Male,<9104,<2298.5,>=49,United-States
<26.5,Private,>=56442,HS-grad,Never-married,Farming-fishing,Own-child,White,Male,<9104,<2298.5,<49,United-States
>=26.5,Private,>=56442,Bachelors,Never-married,Sales,Other-relative,White,Female,<9104,<2298.5,<49,United-States
<26.5,Private,>=56442,HS-grad,Married-civ-spouse,Craft-repair,Husband,White,Male,<9104,<2298.5,<49,United-States
>=26.5,Self-emp-not-inc,<56442,HS-grad,Married-civ-spouse,Farming-fishing,Husband,White,Male,<9104,<2298.5,>=49,United-States
>=26.5,Private,>=56442,Some-college,Married-civ-spouse,Sales,Husband,White,Male,<9104,<2298.5,<49,United-States
>=26.5,State-gov,>=56442,Bachelors,Married-civ-spouse,Prof-specialty,Husband,White,Male,<9104,<2298.5,>=49,United-States
>=26.5,Private,>=56442,HS-grad,Separated,Craft-repair,Unmarried,White,Male,<9104,<2298.5,>=49,Philippines
>=26.5,Private,<56442,Doctorate,Widowed,Prof-specialty,Not-in-family,White,Male,<9104,<2298.5,>=49,United-States
>=26.5,Self-emp-not-inc,>=56442,HS-grad,Married-civ-spouse,Exec-managerial,Husband,White,Male,<9104,<2298.5,>=49,United-States
>=26.5,Private,>=56442,Some-college,Never-married,Other-service,Unmarried,White,Female,<9104,<2298.5,<49,United-States
>=26.5,Private,>=56442,Some-college,Never-married,Machine-op-inspct,Not-in-family,Black,Male,<9104,<2298.5,<49,United-States
>=26.5,Private,>=56442,HS-grad,Married-civ-spouse,Craft-repair,Husband,White,Male,<9104,<2298.5,<49,United-States
>=26.5,Self-emp-not-inc,>=56442,HS-grad,Married-civ-spouse,Other-service,Wife,Black,Female,<9104,<2298.5,<49,United-States
>=26.5,Private,>=56442,Prof-school,Married-civ-spouse,Prof-specialty,Husband,White,Male,<9104,<2298.5,<49,United-States
<26.5,Private,>=56442,Some-college,Never-married,Other-service,Not-in-family,White,Male,<9104,<2298.5,<49,United-States
<26.5,Private,>=56442,HS-grad,Never-married,Machine-op-inspct,Not-in-family,White,Male,<9104,<2298.5,<49,United-States
>=26.5,Private,>=56442,HS-grad,Married-civ-spouse,Transport-moving,Husband,White,Male,<9104,<2298.5,<49,United-States
>=26.5,Private,>=56442,HS-grad,Married-civ-spouse,Exec-managerial,Husband,White,Male,<9104,<2298.5,<49,United-States
>=26.5,Self-emp-not-inc,>=56442,HS-grad,Married-civ-spouse,Craft-repair,Husband,White,Male,<9104,<2298.5,<49,United-States
>=26.5,Private,>=56442,Masters,Married-spouse-absent,Protective-serv,Not-in-family,White,Male,<9104,<2298.5,<49,United-States
>=26.5,Private,<56442,HS-grad,Divorced,Sales,Not-in-family,White,Female,<9104,<2298.5,<49,United-States
>=26.5,State-gov,>=56442,Bachelors,Never-married,Farming-fishing,Not-in-family,White,Male,<9104,<2298.5,<49,United-States
>=26.5,Self-emp-not-inc,>=56442,11th,Never-married,Transport-moving,Not-in-family,Black,Male,<9104,<2298.5,<49,United-States
>=26.5,Local-gov,>=56442,HS-grad,Married-civ-spouse,Transport-moving,Husband,White,Male,<9104,<2298.5,<49,United-States
>=26.5,Private,>=56442,HS-grad,Married-civ-spouse,Machine-op-inspct,Husband,White,Male,<9104,<2298.5,<49,United-States
>=26.5,Self-emp-not-inc,>=56442,Some-college,Married-civ-spouse,Sales,Husband,White,Male,<9104,<2298.5,>=49,United-States
>=26.5,Private,>=56442,10th,Never-married,Machine-op-inspct,Unmarried,White,Female,<9104,<2298.5,<49,United-States
>=26.5,Private,>=56442,HS-grad,Divorced,Adm-clerical,Not-in-family,White,Female,<9104,<2298.5,<49,United-States
>=26.5,Private,>=56442,HS-grad,Never-married,Machine-op-inspct,Not-in-family,White,Male,<9104,<2298.5,<49,United-States
<26.5,Private,>=56442,HS-grad,Never-married,Adm-clerical,Own-child,White,Female,<9104,<2298.5,<49,United-States
>=26.5,Private,>=56442,Assoc-voc,Married-civ-spouse,Machine-op-inspct,Husband,White,Male,<9104,<2298.5,<49,United-States
>=26.5,Private,>=56442,Bachelors,Married-civ-spouse,Prof-specialty,Husband,White,Male,<9104,<2298.5,<49,United-States
<26.5,Private,>=56442,Some-college,Never-married,Machine-op-inspct,Own-child,White,Male,<9104,<2298.5,<49,United-States
