Survived,Pclass,Sex,Age,Siblings.Spouses.Aboard,Parents.Children.Aboard,Fare
No,2,male,28,0,1,33
Yes,1,female,40,1,0,891.042
No,3,male,4,4,2,31.275
No,3,male,74,0,0,7.775
No,3,female,9,1,1,152.458
Yes,1,female,16,0,1,39.4
No,2,female,44,1,0,26
Yes,3,female,18,0,1,9.35
Yes,1,female,45,1,1,1.648.667
Yes,1,male,51,0,0,26.55
Yes,3,female,24,0,3,192.583
No,3,male,30,0,0,72.292
No,3,male,41,2,0,141.083
No,2,male,21,1,0,11.5
Yes,1,female,48,0,0,259.292
No,3,female,14,8,2,69.55
No,2,male,24,0,0,13
Yes,2,female,42,0,0,13
Yes,2,female,27,1,0,138.583
No,1,male,31,0,0,504.958
No,3,male,23,0,0,9.5
Yes,3,male,4,1,1,111.333
No,3,male,26,0,0,78.958
Yes,1,female,47,1,1,525.542
No,1,male,33,0,0,5
No,3,male,47,0,0,9
Yes,2,female,28,1,0,24
Yes,3,female,15,0,0,7.225
No,3,male,20,0,0,98.458
No,3,male,19,0,0,78.958
No,3,male,23,0,0,78.958
Yes,1,female,56,0,1,831.583
Yes,2,female,25,0,1,26
No,3,male,33,0,0,78.958
No,3,female,22,0,0,105.167
No,2,male,28,0,0,10.5
No,3,male,25,0,0,7.05
No,3,female,39,0,5,29.125
No,2,male,27,0,0,13
Yes,1,female,19,0,0,30
No,3,female,7,1,2,23.45
Yes,1,male,26,0,0,30
No,3,male,32,0,0,7.75
